id,title,popularity,vote_average,vote_count,release_date,source,genre_ids,original_language,adult,genre_count,is_english,is_adult,release_year,popularity_log,is_popular,is_recent
1300501,Patriot,22.7339,7.4,7,2026-05-01,now_playing,"[28, 18, 53]",ml,False,3,0,0,2026,3.166904405869278,0,
1673393,Krishnavataram Part 1: The Heart (Hridayam),21.3541,8.8,5,2026-05-07,now_playing,"[12, 10749, 18]",hi,False,3,0,0,2026,3.107009749425723,0,
1367642,Reminders of Him,21.0774,7.696,286,2026-03-11,now_playing,"[10749, 18]",en,False,2,1,0,2026,3.094554460852204,0,
1387382,Hunting Season,20.8876,6.932,228,2025-12-05,now_playing,"[28, 18, 53]",en,False,3,1,0,2025,3.085920266419352,0,
1159831,The Bride!,20.4446,6.2,495,2026-03-04,now_playing,"[878, 27, 14]",en,False,3,1,0,2026,3.0654728654283674,0,
1669057,Check-In,20.3488,5.0,2,2026-05-01,now_playing,[18],tl,False,1,0,0,2026,3.06099553200602,0,
1145899,Marsupilami,19.5898,6.4,91,2026-02-04,now_playing,"[12, 35]",fr,False,2,0,0,2026,3.0247958075393897,0,
1217931,Vampires of the Velvet Lounge,19.199,6.8,5,2026-03-20,now_playing,"[35, 27]",en,False,2,1,0,2026,3.005633098231254,0,
1446616,Tu Yaa Main,18.2944,6.456,45,2026-02-11,now_playing,"[53, 10749]",hi,False,2,0,0,2026,2.959814898367191,0,
1010755,The Strangers: Chapter 3,18.7049,5.768,190,2026-02-05,now_playing,"[27, 53]",en,False,2,1,0,2026,2.980867335779992,0,
1408208,Exit 8,21.2299,6.748,436,2025-08-28,now_playing,"[27, 9648]",ja,False,2,0,0,2025,3.1014382295404364,0,
1662317,The Crash,16.8621,6.947,103,2026-05-14,now_playing,"[99, 80]",en,False,2,1,0,2026,2.882681149723237,0,
1088434,Hellfire,18.3761,4.25,4,2026-05-14,now_playing,"[28, 53]",en,False,2,1,0,2026,2.9640403478213657,0,
1214931,Nuremberg,17.2706,7.548,1062,2025-11-06,now_playing,"[36, 18]",en,False,2,1,0,2025,2.905293210573167,0,
1692948,Chardikala,18.3025,0.0,0,2026-05-29,now_playing,"[18, 36]",pa,False,2,0,0,2026,2.9602346212008337,0,
1321179,The King's Warden,15.0647,7.139,18,2026-02-04,now_playing,"[36, 18]",ko,False,2,0,0,2026,2.776624318257137,0,
